time,x,y,z
34552,-0.2157463,-9.992976,-0.0784532
34568,-0.20593965,-10.149882,-0.0392266
34588,-0.17651969,-10.238142,0.0
34608,-0.2353596,-10.002783,0.00980665
34628,-0.26477954,-10.012589,-0.0196133
34648,-0.22555295,-10.032203,-0.0392266
34668,-0.26477954,-9.98317,-0.0588399
34688,-0.26477954,-9.973363,0.00980665
34708,-0.2157463,-9.992976,0.049033247
34728,-0.19613299,-9.92433,0.049033247
34749,-0.17651969,-9.9047165,0.12748645
34769,-0.20593965,-10.042009,-0.0196133
34789,-0.18632634,-10.042009,-0.0392266
34810,-0.2549729,-9.973363,-0.0196133
34830,-0.20593965,-9.796844,-0.049033247
34851,-0.17651969,-9.83607,0.0
34870,-0.18632634,-9.943943,0.02941995
34890,-0.2549729,-9.9047165,0.00980665
34911,-0.2353596,-9.826263,-0.00980665
34931,-0.30400613,-9.95375,-0.00980665
34956,-0.24516624,-9.92433,-0.0588399
34976,-0.2157463,-10.002783,0.00980665
34995,-0.22555295,-10.169496,0.098066494
35011,-0.20593965,-10.110656,0.06864655
35031,-0.2157463,-10.0910425,0.00980665
35052,-0.20593965,-10.130269,-0.02941995
35071,-0.2157463,-10.120462,-0.02941995
35091,-0.24516624,-9.98317,0.0196133
35112,-0.20593965,-10.042009,0.0196133
35132,-0.2157463,-10.0910425,-0.0392266
35155,-0.2157463,-9.963556,-0.00980665
35172,-0.24516624,-9.934136,0.0392266
35193,-0.19613299,-10.012589,0.00980665
35216,-0.20593965,-10.051816,-0.0196133
35237,-0.20593965,-9.95375,0.00980665
35254,-0.24516624,-9.9047165,-0.02941995
35273,-0.2157463,-10.0910425,0.0196133
35294,-0.22555295,-10.051816,-0.0196133
35314,-0.2353596,-9.86549,0.00980665
35337,-0.24516624,-9.95375,0.0392266
35354,-0.22555295,-10.130269,0.049033247
35373,-0.2157463,-10.071429,0.0196133
35394,-0.19613299,-9.92433,-0.049033247
35416,-0.20593965,-10.022396,-0.088259846
35437,-0.22555295,-10.051816,0.0392266
35454,-0.2353596,-9.992976,0.0196133
35474,-0.19613299,-9.992976,0.0
35495,-0.20593965,-10.110656,-0.02941995
35516,-0.28439283,-10.081236,0.0392266
35538,-0.2549729,-10.022396,-0.049033247
35555,-0.2549729,-10.159689,0.0196133
35575,-0.22555295,-10.012589,0.00980665
35595,-0.20593965,-9.845877,0.00980665
35618,-0.20593965,-9.855683,-0.00980665
35639,-0.19613299,-10.022396,-0.0392266
35656,-0.1569064,-9.973363,-0.0392266
35676,-0.26477954,-9.943943,-0.0784532
35698,-0.20593965,-10.002783,0.00980665
35716,-0.24516624,-10.022396,-0.00980665
